GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
1600000US2619135,2619135,"Crystal Downs Country Club CDP, Michigan",0.5970,0.1118
1600000US2619140,2619140,"Crystal Falls city, Michigan",0.4210,0.0288
1600000US2619195,2619195,"Crystal Mountain CDP, Michigan",0.2268,0.0951
1600000US2619420,2619420,"Custer village, Michigan",0.3503,0.0751
1600000US2619500,2619500,"Cutlerville CDP, Michigan",0.3887,0.0214
1600000US2619560,2619560,"Daggett village, Michigan",0.3369,0.0490
1600000US2619780,2619780,"Dansville village, Michigan",0.3866,0.0925
1600000US2619880,2619880,"Davison city, Michigan",0.4779,0.0596
1600000US2621000,2621000,"Dearborn city, Michigan",0.4660,0.0121
1600000US2621020,2621020,"Dearborn Heights city, Michigan",0.4378,0.0182
1600000US2621040,2621040,"Decatur village, Michigan",0.4951,0.1186
1600000US2621100,2621100,"Deckerville village, Michigan",0.4213,0.0432
1600000US2621180,2621180,"Deerfield village, Michigan",0.4494,0.0761
1600000US2621560,2621560,"Delton CDP, Michigan",0.3538,0.0757
1600000US2621780,2621780,"De Tour Village village, Michigan",0.4031,0.0512
1600000US2622000,2622000,"Detroit city, Michigan",0.5069,0.0056
1600000US2622040,2622040,"Detroit Beach CDP, Michigan",0.3371,0.0500
1600000US2622120,2622120,"DeWitt city, Michigan",0.4461,0.0703
1600000US2622160,2622160,"Dexter village, Michigan",0.3820,0.0290
1600000US2622380,2622380,"Dimondale village, Michigan",0.3439,0.0362
1600000US2622520,2622520,"Dollar Bay CDP, Michigan",0.3978,0.0484
1600000US2622740,2622740,"Douglas city, Michigan",0.4113,0.0385
1600000US2622880,2622880,"Dowagiac city, Michigan",0.4455,0.0394
1600000US2622900,2622900,"Dowling CDP, Michigan",0.3229,0.0395
1600000US2623140,2623140,"Dryden village, Michigan",0.4029,0.0383
1600000US2623380,2623380,"Dundee village, Michigan",0.3674,0.0317
1600000US2623500,2623500,"Durand city, Michigan",0.3566,0.0254
1600000US2623560,2623560,"Eagle village, Michigan",0.2688,0.1291
1600000US2623600,2623600,"Eagle Harbor CDP, Michigan",0.3905,0.0922
1600000US2623740,2623740,"Eagle River CDP, Michigan",0.4760,0.0758
1600000US2623980,2623980,"East Grand Rapids city, Michigan",0.4674,0.0412
1600000US2624020,2624020,"East Jordan city, Michigan",0.4585,0.0574
1600000US2624060,2624060,"Eastlake village, Michigan",0.3625,0.0290
1600000US2624120,2624120,"East Lansing city, Michigan",0.5978,0.0162
1600000US2624290,2624290,"Eastpointe city, Michigan",0.4149,0.0202
1600000US2624300,2624300,"Eastport CDP, Michigan",0.3768,0.1000
1600000US2624420,2624420,"East Tawas city, Michigan",0.5468,0.1078
1600000US2624500,2624500,"Eastwood CDP, Michigan",0.3803,0.0365
1600000US2624540,2624540,"Eaton Rapids city, Michigan",0.3807,0.0240
1600000US2624580,2624580,"Eau Claire village, Michigan",0.3512,0.0654
1600000US2624740,2624740,"Ecorse city, Michigan",0.4690,0.0387
1600000US2624880,2624880,"Edgemont Park CDP, Michigan",0.3423,0.0487
1600000US2625000,2625000,"Edmore village, Michigan",0.4860,0.0663
1600000US2625040,2625040,"Edwardsburg village, Michigan",0.4194,0.0440
1600000US2625180,2625180,"Elberta village, Michigan",0.3744,0.0934
